PRODUCT,PROCESS,MACHINE,TIME_SLOT
Cookie,Packaging,3,58
Hose,Packaging,13,58
Bolts,Packaging,10,58
Cake,Testing,14,59
Cake,Loading,6,59
Cookie,Testing,14,60
EV car,Testing,2,60
EV car,Packaging,2,60
EV car,Loading,5,60
Bolts,Testing,4,60
Bomb,Packaging,3,61
Cake,Testing,9,62
Bolts,Testing,1,63
Hose,Loading,7,64
Cake,Packaging,13,64
Cake,Packaging,13,64
Cake,Loading,8,64
Bolts,Testing,2,64
Cookie,Testing,11,65
Hose,Loading,11,65
Bolts,Testing,11,65
Bolts,Testing,13,65
Cookie,Testing,6,66
Hose,Packaging,3,66
EV car,Packaging,6,67
EV car,Loading,1,67
Plumbus,Packaging,4,67
Bomb,Testing,5,67
Hose,Loading,10,68
Bolts,Loading,7,68
Bolts,Testing,8,69
Bolts,Packaging,1,70
Plumbus,Testing,9,71
Cookie,Packaging,7,72
Cookie,Loading,13,72
EV car,Testing,1,72
Bomb,Packaging,8,72
Bolts,Testing,3,72
Bolts,Packaging,11,73
Cookie,Packaging,12,75
EV car,Testing,9,76
Plumbus,Testing,15,76
Bomb,Testing,9,76
Bolts,Testing,13,76
Bolts,Packaging,7,76
Bomb,Packaging,10,77
Cake,Loading,13,77
Bolts,Packaging,6,77
Bolts,Loading,7,77
EV car,Testing,4,78
EV car,Packaging,6,78
EV car,Loading,5,78
Hose,Packaging,5,78
EV car,Testing,1,79
Bolts,Packaging,1,79
EV car,Testing,12,80
Cookie,Loading,9,82
Bolts,Loading,7,82
Bolts,Testing,4,83
Hose,Loading,13,84
Plumbus,Testing,6,84
Bolts,Packaging,9,84
Hose,Testing,5,85
Hose,Packaging,5,85
Cookie,Loading,1,86
Hose,Testing,9,86
Bomb,Testing,1,86
Bolts,Testing,10,86
EV car,Testing,5,87
Bolts,Packaging,8,87
EV car,Packaging,1,88
Cake,Loading,4,88
Plumbus,Loading,2,89
Plumbus,Testing,8,90
Cake,Loading,9,90
Bolts,Packaging,3,90
Cookie,Loading,6,91
Cake,Packaging,9,91
Bolts,Testing,14,91
Plumbus,Packaging,13,93
Bolts,Packaging,3,93
Cookie,Packaging,3,94
Cookie,Packaging,1,95
Hose,Loading,10,95
Bolts,Packaging,6,95
Bolts,Loading,4,95
Bolts,Loading,3,95
EV car,Packaging,10,96
Hose,Loading,13,97
Cake,Loading,6,97
Hose,Packaging,6,98
Cake,Packaging,1,98
EV car,Packaging,1,99
Cookie,Loading,7,100
Bolts,Loading,12,101
Bolts,Loading,1,101
Bolts,Loading,6,102
Hose,Packaging,6,105
Bolts,Loading,3,105
Hose,Loading,4,106
Bomb,Packaging,5,106
Bomb,Loading,8,106
Hose,Loading,3,107
Plumbus,Packaging,6,109
Bomb,Loading,11,109
Bolts,Packaging,5,112
Bolts,Loading,1,112
Cookie,Loading,6,113
Hose,Loading,10,113
Cake,Packaging,9,113
Bolts,Packaging,2,113
Hose,Packaging,11,115
Plumbus,Packaging,5,116
Bomb,Loading,4,118
Bolts,Loading,2,118
Cookie,Packaging,6,120
Plumbus,Loading,7,122
Bolts,Packaging,3,122
Hose,Packaging,7,123
Bolts,Loading,8,123
Bolts,Loading,1,123
Cookie,Packaging,9,125
Plumbus,Packaging,8,125
Hose,Packaging,3,127
Hose,Loading,5,127
Cookie,Packaging,12,129
Plumbus,Loading,3,134
EV car,Loading,6,135
Bolts,Loading,3,135
EV car,Loading,3,136
EV car,Loading,5,138
Bolts,Loading,13,138
Hose,Loading,9,139
Plumbus,Loading,12,139
EV car,Loading,2,140
EV car,Assembly,8,1
Cake,Assembly,21,1
Cookie,Assembly,18,2
Hose,Assembly,22,2
Bolts,Assembly,15,2
Cookie,Assembly,18,3
Cookie,Testing,14,3
Hose,Assembly,13,3
Bolts,Assembly,16,3
Hose,Assembly,7,4
Hose,Testing,4,4
Bolts,Packaging,12,4
Hose,Assembly,17,5
Hose,Testing,7,5
Bolts,Packaging,9,5
Bolts,Loading,10,5
EV car,Assembly,13,6
Bomb,Assembly,15,6
Bolts,Packaging,10,6
Bolts,Packaging,3,6
Bolts,Loading,8,6
Cookie,Assembly,9,7
Cookie,Assembly,16,7
Cake,Testing,1,7
Bolts,Loading,6,7
Cookie,Testing,6,8
Hose,Packaging,9,8
Cake,Assembly,10,8
Cake,Packaging,10,8
Bolts,Assembly,7,8
Cookie,Assembly,12,9
Hose,Assembly,15,9
Hose,Assembly,3,9
Bolts,Testing,1,9
Hose,Packaging,13,10
Cake,Testing,6,10
EV car,Assembly,2,11
EV car,Testing,9,11
Hose,Testing,15,11
Hose,Packaging,8,11
Cake,Packaging,7,11
Cookie,Testing,2,12
Cookie,Testing,8,12
Hose,Loading,10,12
Cookie,Assembly,11,13
EV car,Assembly,19,13
Hose,Assembly,20,13
Bolts,Assembly,9,13
Bolts,Loading,12,13
Bomb,Assembly,6,14
Cake,Loading,3,14
Cookie,Loading,13,15
Bolts,Loading,7,15
Cookie,Assembly,6,16
EV car,Testing,13,16
Plumbus,Loading,11,16
Cookie,Assembly,19,17
EV car,Assembly,19,17
EV car,Loading,6,17
Bomb,Loading,7,17
Bolts,Packaging,6,17
Cookie,Testing,12,18
Hose,Packaging,11,19
Plumbus,Assembly,12,19
Cake,Assembly,22,19
Cake,Testing,2,19
Hose,Testing,14,20
Cookie,Assembly,6,21
Cookie,Testing,5,21
Bomb,Packaging,3,21
Cake,Testing,12,21
Bolts,Assembly,6,21
Bolts,Testing,10,21
Cake,Testing,10,22
Cake,Testing,6,22
Bolts,Assembly,13,22
Plumbus,Assembly,9,23
Bomb,Assembly,3,23
Bomb,Loading,4,23
Cookie,Assembly,22,24
Cookie,Loading,11,24
Hose,Assembly,15,24
Hose,Testing,4,24
Hose,Loading,9,24
Plumbus,Assembly,8,24
Bomb,Assembly,21,24
Bolts,Assembly,3,24
Plumbus,Testing,11,25
Bomb,Testing,11,25
Bolts,Assembly,20,25
Bolts,Loading,10,26
Bomb,Testing,9,27
Bolts,Assembly,4,28
Bolts,Loading,12,28
Cookie,Testing,15,29
Cookie,Testing,10,29
Hose,Testing,3,29
Plumbus,Assembly,22,29
Plumbus,Testing,6,29
EV car,Assembly,7,30
EV car,Packaging,12,30
Cake,Assembly,9,30
Bolts,Assembly,18,31
Bolts,Loading,1,31
Plumbus,Assembly,1,32
Cake,Assembly,21,32
Hose,Loading,4,33
Bolts,Assembly,4,33
Cookie,Assembly,16,34
EV car,Assembly,10,34
EV car,Packaging,8,34
Bomb,Assembly,2,34
Bolts,Assembly,20,34
Bolts,Assembly,19,34
Bolts,Packaging,5,34
Cookie,Packaging,5,35
Hose,Packaging,4,35
Bolts,Assembly,18,35
Bolts,Testing,2,35
Bolts,Packaging,10,35
Hose,Loading,9,36
Bolts,Assembly,7,36
Bolts,Assembly,5,36
Bolts,Testing,15,36
Bolts,Testing,11,37
Cookie,Assembly,17,38
EV car,Assembly,7,38
EV car,Testing,6,38
EV car,Loading,4,38
EV car,Testing,3,39
EV car,Packaging,12,39
Hose,Assembly,1,39
Bomb,Testing,2,39
EV car,Assembly,7,40
Hose,Assembly,7,40
Plumbus,Assembly,3,40
Bomb,Assembly,20,40
Bolts,Testing,1,40
Hose,Assembly,4,41
Hose,Testing,11,42
Hose,Loading,6,42
Bolts,Packaging,9,42
Hose,Loading,3,43
Bolts,Assembly,3,43
Bolts,Testing,15,43
Bolts,Loading,11,43
EV car,Testing,9,44
Cake,Loading,6,44
Hose,Assembly,14,45
Cookie,Testing,6,46
Cookie,Loading,9,46
Cookie,Loading,12,46
EV car,Packaging,6,46
Plumbus,Loading,9,46
Bolts,Packaging,8,46
Cookie,Assembly,10,47
Hose,Testing,9,47
Bomb,Packaging,2,47
Bolts,Testing,12,48
Cookie,Assembly,21,49
EV car,Assembly,6,49
EV car,Testing,7,49
Cake,Assembly,2,49
Cake,Assembly,8,49
Bolts,Assembly,18,49
Bolts,Assembly,11,49
Cookie,Testing,11,50
Plumbus,Loading,8,50
Bomb,Packaging,7,50
Bolts,Assembly,18,50
Cookie,Packaging,8,51
Hose,Assembly,2,51
Hose,Assembly,15,51
Plumbus,Assembly,4,51
Plumbus,Packaging,3,51
Cake,Loading,9,51
Cookie,Assembly,10,52
Hose,Testing,5,53
Bomb,Assembly,4,54
Bomb,Testing,6,54
Cake,Packaging,13,54
EV car,Testing,4,56
Hose,Packaging,4,56
Hose,Testing,14,57
Bolts,Testing,12,57
Hose,Packaging,9,58
Bolts,Testing,14,59
Plumbus,Testing,6,60
Bolts,Loading,11,60
Bolts,Loading,8,60
Cookie,Loading,2,61
Bolts,Testing,1,61
Bolts,Packaging,12,62
Cookie,Loading,2,63
EV car,Loading,5,64
Cookie,Packaging,13,65
Plumbus,Testing,6,67
Bolts,Packaging,4,67
EV car,Loading,2,68
Bolts,Testing,13,68
Bomb,Testing,10,69
Bolts,Loading,10,69
Cookie,Testing,9,70
Cookie,Packaging,11,70
Cookie,Loading,6,70
Plumbus,Packaging,4,70
Cookie,Testing,2,71
EV car,Packaging,11,71
EV car,Loading,12,71
Hose,Testing,8,71
Cake,Testing,10,71
Cookie,Packaging,9,72
Cookie,Loading,4,72
Cake,Loading,12,72
EV car,Packaging,3,73
Cookie,Testing,10,74
Cookie,Packaging,13,74
EV car,Loading,4,74
Bomb,Loading,1,74
Bolts,Packaging,1,74
Cookie,Packaging,8,75
EV car,Packaging,8,75
Hose,Packaging,13,75
Hose,Loading,10,75
Plumbus,Testing,10,76
EV car,Loading,5,77
Hose,Testing,5,77
Plumbus,Packaging,10,77
Bolts,Packaging,4,77
Bomb,Packaging,1,78
Cake,Loading,4,78
Bolts,Testing,11,78
Bolts,Loading,6,78
Hose,Testing,14,79
Bolts,Testing,6,79
EV car,Packaging,9,80
Bolts,Testing,10,80
Bolts,Packaging,10,80
Cookie,Loading,8,81
Plumbus,Testing,10,81
Bolts,Testing,4,82
Hose,Packaging,2,83
Hose,Loading,1,83
EV car,Testing,3,84
EV car,Loading,5,84
Plumbus,Testing,4,84
Bolts,Testing,1,84
Cookie,Testing,13,85
EV car,Testing,9,85
Bolts,Testing,6,85
EV car,Packaging,13,86
Bomb,Testing,12,86
Bolts,Packaging,4,86
Bolts,Loading,10,86
Bolts,Loading,1,86
Bomb,Testing,13,87
Cake,Packaging,4,87
Cake,Packaging,8,87
Bolts,Packaging,12,87
Hose,Testing,2,88
Bolts,Testing,7,88
Cookie,Packaging,1,89
Bolts,Testing,3,89
Cookie,Testing,2,90
Hose,Packaging,7,91
Bomb,Packaging,6,91
Cookie,Packaging,12,92
Bomb,Packaging,12,92
Hose,Loading,4,93
Cake,Loading,2,94
Cookie,Loading,6,95
Cookie,Loading,3,96
EV car,Testing,14,97
Plumbus,Loading,2,97
Bolts,Packaging,13,98
Cookie,Packaging,3,99
Hose,Packaging,4,99
Hose,Packaging,8,99
Bolts,Packaging,11,101
Cookie,Packaging,13,102
Bolts,Packaging,9,103
Cookie,Loading,1,105
Plumbus,Packaging,4,105
Plumbus,Packaging,7,105
Bolts,Packaging,2,105
Bolts,Loading,2,105
Cookie,Loading,9,106
Cake,Loading,7,106
Cookie,Packaging,13,107
Cookie,Packaging,1,107
Bomb,Packaging,8,107
Hose,Loading,3,108
Plumbus,Packaging,6,109
Hose,Packaging,6,110
Hose,Packaging,5,111
Bomb,Loading,7,111
Cookie,Packaging,1,112
Cake,Packaging,8,113
Cookie,Packaging,2,114
Hose,Loading,6,118
Cake,Packaging,10,118
Plumbus,Loading,11,122
Bolts,Loading,8,122
EV car,Loading,7,124
Plumbus,Packaging,4,125
Plumbus,Loading,11,125
Cookie,Loading,1,126
Hose,Loading,1,129
EV car,Loading,12,130
Hose,Loading,6,132
Bolts,Loading,7,136
EV car,Packaging,2,137
Bomb,Loading,6,137
Bomb,Loading,10,137
Bolts,Loading,3,137
Plumbus,Loading,6,140
Bomb,Loading,4,140
Cookie,Loading,3,141
Bolts,Loading,10,141
Hose,Loading,12,143
Hose,Assembly,10,1
Bolts,Assembly,10,1
Bolts,Testing,1,2
Hose,Assembly,9,3
Bomb,Assembly,17,3
Bolts,Assembly,19,3
Cookie,Testing,6,4
EV car,Assembly,7,4
Cookie,Assembly,22,5
Hose,Packaging,2,5
Plumbus,Testing,1,5
Hose,Assembly,16,6
EV car,Assembly,16,7
Hose,Assembly,3,7
Cookie,Packaging,1,8
Bomb,Testing,8,8
Hose,Assembly,22,9
Hose,Testing,9,9
Hose,Packaging,8,9
Bolts,Packaging,4,10
Cookie,Testing,3,11
Hose,Assembly,10,11
Cake,Assembly,12,11
Bolts,Assembly,8,11
Cookie,Assembly,8,12
Hose,Loading,8,12
Bolts,Packaging,11,12
Hose,Assembly,15,13
Hose,Testing,11,13
Plumbus,Assembly,5,13
Hose,Loading,4,14
Plumbus,Assembly,10,14
Cake,Testing,3,14
Bolts,Loading,11,14
Plumbus,Testing,1,15
Cookie,Loading,11,16
EV car,Testing,7,16
Hose,Testing,2,16
Bomb,Assembly,14,16
Cake,Loading,3,16
Bolts,Assembly,3,16
Bolts,Testing,5,16
EV car,Assembly,21,17
Hose,Packaging,1,17
Cookie,Packaging,4,18
Bolts,Packaging,10,18
Cookie,Assembly,15,19
Cookie,Testing,3,19
Plumbus,Loading,10,19
EV car,Assembly,7,20
EV car,Assembly,1,20
Cookie,Assembly,4,21
Cookie,Assembly,22,21
Hose,Packaging,13,21
Plumbus,Packaging,4,21
Bomb,Assembly,14,21
Bolts,Testing,1,21
Cookie,Assembly,3,22
Cookie,Assembly,19,22
EV car,Assembly,11,22
Hose,Loading,13,22
Bomb,Loading,1,22
Bolts,Assembly,19,22
Hose,Assembly,14,23
Cake,Assembly,9,23
EV car,Packaging,6,24
Plumbus,Testing,1,24
Bomb,Packaging,9,24
Cake,Assembly,3,24
Cake,Testing,6,24
Bolts,Packaging,8,24
EV car,Assembly,7,25
Hose,Assembly,9,25
Hose,Packaging,6,25
Plumbus,Assembly,6,25
Bolts,Testing,1,25
Bomb,Packaging,2,26
Bolts,Loading,12,26
EV car,Assembly,13,27
Cake,Assembly,7,27
Cookie,Assembly,8,28
Bolts,Assembly,1,28
Plumbus,Assembly,10,29
Bomb,Assembly,18,29
Bolts,Packaging,9,29
Cookie,Testing,12,30
EV car,Assembly,12,30
EV car,Testing,9,30
Plumbus,Testing,14,30
Cake,Packaging,13,30
Hose,Assembly,3,31
Bolts,Assembly,21,31
Bolts,Testing,9,31
Bolts,Testing,10,31
EV car,Assembly,15,32
Bolts,Testing,3,32
Bolts,Testing,13,32
Bolts,Packaging,10,32
EV car,Testing,10,33
Hose,Testing,9,33
Bolts,Loading,1,33
Cookie,Loading,4,34
Cake,Packaging,13,34
Bolts,Assembly,20,34
Cookie,Assembly,5,35
Hose,Assembly,9,35
Cookie,Testing,13,36
Hose,Loading,1,36
Hose,Loading,11,36
Bomb,Testing,11,36
Cake,Loading,11,36
Plumbus,Loading,11,37
Bomb,Assembly,21,37
Hose,Assembly,19,38
Bolts,Packaging,10,38
Cookie,Packaging,1,39
EV car,Loading,5,39
Hose,Assembly,3,39
Hose,Testing,3,39
Bolts,Assembly,20,39
Cookie,Assembly,22,40
Bomb,Assembly,10,40
Bolts,Loading,6,40
EV car,Testing,5,41
EV car,Packaging,8,41
Cake,Testing,7,41
Bolts,Assembly,22,41
Cookie,Assembly,14,42
EV car,Loading,5,42
Hose,Testing,10,42
Hose,Packaging,3,42
Bolts,Assembly,4,42
Bolts,Assembly,21,42
Bolts,Testing,3,42
EV car,Testing,10,43
EV car,Packaging,4,43
Hose,Testing,1,43
Bolts,Assembly,16,43
Bolts,Testing,4,43
EV car,Packaging,2,44
EV car,Packaging,4,44
Plumbus,Assembly,3,45
Plumbus,Assembly,13,45
Bomb,Packaging,1,45
Bolts,Assembly,17,45
Bolts,Packaging,4,45
Cookie,Assembly,9,46
Cookie,Testing,1,46
Cookie,Packaging,7,46
Hose,Testing,6,46
Bolts,Loading,12,46
Cookie,Packaging,5,47
Bomb,Assembly,5,47
Cake,Assembly,2,47
Cake,Assembly,3,48
Bolts,Assembly,16,48
Cookie,Assembly,20,49
EV car,Testing,12,49
Cookie,Loading,9,50
Hose,Testing,11,50
Hose,Loading,5,50
Cake,Assembly,17,50
Bolts,Assembly,21,50
Cookie,Loading,13,51
Plumbus,Loading,9,51
Bomb,Packaging,6,51
EV car,Testing,8,52
Plumbus,Assembly,16,52
Bolts,Assembly,22,52
Bolts,Assembly,15,52
Bolts,Packaging,10,52
Cookie,Loading,9,53
Hose,Packaging,11,53
Bolts,Assembly,19,53
Cookie,Assembly,2,54
Cookie,Assembly,2,54
Hose,Assembly,2,54
Bolts,Assembly,22,54
Bolts,Testing,1,54
Bolts,Testing,5,54
Cookie,Testing,6,55
Bolts,Testing,4,55
Hose,Packaging,3,56
Bolts,Packaging,6,56
Cookie,Packaging,1,57
Bolts,Loading,10,57
Cookie,Testing,8,58
Cake,Testing,1,58
Cookie,Testing,1,59
Hose,Testing,14,59
Plumbus,Testing,12,59
Bomb,Testing,6,60
Cookie,Testing,2,61
Cookie,Testing,3,62
Bolts,Testing,4,62
Bomb,Testing,5,63
Bomb,Loading,10,63
Cookie,Packaging,11,64
Plumbus,Loading,8,65
Cake,Packaging,5,65
EV car,Loading,10,66
Plumbus,Testing,7,66
Bolts,Testing,8,68
Bolts,Loading,4,68
Cookie,Testing,7,69
Cake,Packaging,7,69
Hose,Testing,11,70
Hose,Packaging,11,70
Plumbus,Loading,13,70
Bolts,Loading,7,70
EV car,Testing,15,71
EV car,Packaging,9,71
Hose,Packaging,2,71
EV car,Packaging,3,72
Hose,Packaging,12,72
Bomb,Loading,5,72
Bolts,Testing,15,72
Cookie,Loading,10,73
Bomb,Testing,6,73
Cake,Testing,14,73
Cookie,Packaging,11,74
Bomb,Packaging,5,74
Bolts,Testing,15,74
Bolts,Testing,9,74
Cookie,Packaging,3,75
EV car,Loading,2,75
Bolts,Testing,2,75
EV car,Loading,10,76
Bomb,Testing,15,76
Plumbus,Packaging,12,77
Cookie,Loading,4,78
Plumbus,Loading,12,78
Bomb,Packaging,4,78
Bomb,Testing,13,79
Cake,Packaging,2,79
Cake,Testing,9,81
Bolts,Testing,13,81
Bolts,Packaging,8,82
EV car,Testing,12,83
EV car,Testing,8,83
Plumbus,Testing,4,83
Bolts,Packaging,13,83
Cookie,Testing,5,84
Hose,Testing,4,84
Hose,Testing,4,85
Plumbus,Packaging,8,85
Cookie,Testing,1,86
EV car,Loading,6,86
Bolts,Loading,1,86
Bomb,Loading,3,87
Bolts,Packaging,5,87
Cookie,Testing,7,88
Hose,Testing,3,88
Hose,Loading,3,89
Cake,Testing,15,89
Cake,Loading,11,89
Cookie,Loading,2,90
Bomb,Packaging,2,90
Bolts,Loading,2,91
Hose,Packaging,9,92
Bolts,Loading,12,93
Hose,Loading,11,95
EV car,Packaging,12,96
EV car,Loading,7,97
Cookie,Packaging,12,98
Bolts,Loading,9,98
EV car,Packaging,8,99
Hose,Loading,9,100
Cookie,Loading,4,101
Hose,Loading,3,101
EV car,Loading,3,102
Hose,Loading,2,102
Cake,Packaging,13,103
Bolts,Packaging,8,103
Cookie,Packaging,4,104
Cookie,Packaging,6,105
Hose,Loading,11,106
Cookie,Packaging,10,107
Cake,Loading,10,107
Hose,Packaging,7,108
Cake,Packaging,1,108
Cookie,Loading,12,109
EV car,Loading,7,109
Hose,Packaging,1,110
Bolts,Packaging,8,110
Cake,Loading,3,111
Bomb,Loading,7,112
Bolts,Loading,2,112
Hose,Loading,5,113
Bolts,Loading,13,113
Bolts,Packaging,3,114
Bolts,Loading,13,114
Bolts,Loading,7,115
Bomb,Loading,4,117
Bolts,Loading,9,117
EV car,Packaging,5,118
Plumbus,Packaging,8,118
Plumbus,Packaging,4,118
Cookie,Packaging,6,119
Bolts,Packaging,13,119
Bolts,Packaging,10,119
Cookie,Loading,7,120
Cookie,Packaging,12,121
Cookie,Loading,7,121
Plumbus,Packaging,13,123
Bolts,Packaging,1,125
Bolts,Packaging,8,126
Cake,Loading,6,127
Bolts,Loading,10,127
Plumbus,Packaging,6,132
Plumbus,Loading,8,135
Bomb,Loading,4,135
Hose,Loading,1,136
Cookie,Loading,10,137
EV car,Loading,5,137
Bolts,Loading,2,137
Cookie,Loading,11,138
Cookie,Loading,3,141
Cake,Loading,10,141
Bolts,Loading,10,142
Cake,Assembly,9,1
Cake,Assembly,6,4
Plumbus,Assembly,16,5
Bomb,Assembly,20,5
Cake,Assembly,19,5
Bolts,Assembly,7,5
Bolts,Testing,11,5
Bolts,Loading,9,5
Hose,Assembly,22,6
Cookie,Assembly,2,7
Cookie,Loading,9,7
EV car,Assembly,16,7
EV car,Assembly,6,7
Hose,Packaging,4,7
Plumbus,Assembly,3,7
Cookie,Assembly,21,8
Hose,Packaging,13,8
Cake,Testing,15,8
Bolts,Assembly,12,8
Cookie,Packaging,4,9
Hose,Assembly,5,10
Hose,Packaging,5,10
Plumbus,Packaging,7,10
Bolts,Assembly,1,10
Cookie,Packaging,9,11
Bomb,Loading,4,11
Cookie,Assembly,19,12
Hose,Assembly,9,12
Hose,Assembly,18,12
Hose,Assembly,8,12
Bolts,Assembly,10,12
Bolts,Loading,7,12
Cookie,Assembly,4,13
Cookie,Testing,3,13
Cookie,Packaging,11,13
Plumbus,Testing,9,13
Bolts,Testing,8,13
Cookie,Assembly,16,14
Cookie,Loading,1,14
Bomb,Assembly,6,14
Bolts,Assembly,2,14
Bolts,Assembly,1,14
Bolts,Assembly,20,14
Cookie,Loading,10,15
EV car,Assembly,19,15
Cookie,Assembly,19,16
Hose,Assembly,22,16
EV car,Packaging,9,17
Plumbus,Testing,9,17
Plumbus,Packaging,5,17
Bolts,Assembly,17,17
Cookie,Loading,2,18
EV car,Assembly,13,19
Bomb,Packaging,3,19
Bolts,Testing,6,19
Bolts,Testing,3,19
Cookie,Assembly,4,20
EV car,Assembly,6,20
Bomb,Testing,7,20
Cake,Assembly,3,20
Cake,Testing,15,20
Bolts,Assembly,21,20
Bolts,Assembly,17,20
EV car,Assembly,16,21
EV car,Packaging,11,23
Hose,Loading,3,23
EV car,Loading,1,24
EV car,Loading,7,24
Hose,Testing,11,24
Plumbus,Assembly,18,24
Hose,Loading,11,25
Hose,Loading,4,25
Bolts,Packaging,7,25
Cookie,Assembly,5,26
Hose,Testing,10,26
Hose,Testing,4,26
Cake,Testing,15,26
Bolts,Loading,12,26
Cookie,Testing,4,27
Cookie,Testing,9,27
Bolts,Loading,4,27
Cookie,Assembly,16,28
EV car,Assembly,2,28
EV car,Testing,5,28
Hose,Loading,4,28
Cake,Packaging,6,28
Bolts,Packaging,8,28
Cake,Assembly,6,29
Cookie,Assembly,20,30
Cookie,Packaging,3,30
Hose,Assembly,19,30
Hose,Testing,2,30
Bolts,Testing,4,30
Bolts,Testing,11,30
Cookie,Testing,6,31
